,Country,City,Latitude,Longitude,Max Temp (F),Humidity,Cloudiness,Wind Speed,Date
0,BR,Ariquemes,-9.9133,-63.0408,91.42,40,76,2.71,1657549802
1,NZ,Bluff,-46.6,168.3333,38.8,82,30,14.12,1657549562
2,US,Jamestown,42.097,-79.2353,77.95,63,0,5.75,1657549562
3,CN,Erenhot,43.6475,111.9767,78.37,35,94,21.34,1657549885
4,CL,Punta arenas,-53.15,-70.9167,24.91,80,0,14.97,1657549822
5,RU,Pervomayskoye,43.919,46.7102,92.73,24,3,13.51,1657549886
6,AR,Ushuaia,-54.8,-68.3,29.82,64,20,4.61,1657549886
7,HK,Victoria,22.2855,114.1577,88.32,79,19,5.99,1657549793
8,NO,Folldal,62.1325,9.9968,61.79,59,99,5.39,1657549886
9,NC,Touho,-20.7833,165.2333,70.5,82,1,7.58,1657549886
10,MX,Cabo san lucas,22.8909,-109.9124,86.61,58,67,7.49,1657549887
11,AU,Hobart,-42.8794,147.3294,49.26,88,100,4.61,1657549887
12,MV,Muli,2.9167,73.5667,82.38,71,100,2.19,1657549887
13,ZA,Bredasdorp,-34.5322,20.0403,60.01,56,37,16.37,1657549887
14,JP,Ohara,35.25,140.3833,73.45,94,86,4.47,1657549887
15,IN,Machhiwara,30.9147,76.1983,90.77,57,60,3.33,1657549888
16,US,Hamilton,39.1834,-84.5333,82.65,74,0,10.36,1657549888
17,AR,Comodoro rivadavia,-45.8667,-67.5,31.86,80,20,4.61,1657549870
18,PF,Atuona,-9.8,-139.0333,77.41,74,50,16.73,1657549888
19,PG,Kavieng,-2.5744,150.7967,80.35,82,74,12.35,1657549888
20,IR,Bam,29.106,58.357,100.65,11,4,12.21,1657549817
21,US,Barrow,71.2906,-156.7887,41.02,93,100,17.27,1657549889
22,GB,Margate,51.3813,1.3862,74.89,68,24,1.01,1657549616
23,RU,Khatanga,71.9667,102.5,47.91,61,95,12.24,1657549889
24,CA,Norman wells,65.282,-126.8329,60.84,88,75,3.44,1657549889
25,CA,Yellowknife,62.456,-114.3525,64.92,82,40,8.05,1657549890
26,AR,Mar del plata,-38.0023,-57.5575,52.09,79,100,15.99,1657549890
27,YE,Zabid,14.1951,43.3152,94.77,41,88,13.33,1657549890
28,TH,Takhli,15.2634,100.3438,76.08,93,100,4.83,1657549891
29,CN,Korla,41.7597,86.1469,88.32,16,100,6.51,1657549891
30,NC,Vao,-22.6667,167.4833,71.85,70,70,22.06,1657549891
